Name;Street;Neighborhood;City;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
Mania pet tatetos;;;;4.8;46.0;ChIJ9_OFDWQ_zpQRS1pk4OYHHeg;pet_store;-23.8243565;-46.5673697
Beleza Animal;Rua Frei Angelico Manetti, 116;Jardim Tupã;São Bernardo do Campo;5.0;1.0;ChIJ3X2K2IQ_zpQRZbYRRPVtnT8;pet_store;-23.7928785;-46.5471071
ParaSeuMelhorAmigo;Estrada do Rio Acima, 1938;Riacho Grande;São Bernardo do Campo;4.7;50.0;ChIJF37I14w_zpQRXcdyz7K-WzE;pet_store;-23.78759909999999;-46.53600669999999
Pet Rizzo Riacho - Banho e Tosa;Estrada do Rio Acima, 1693;Riacho Grande;São Bernardo do Campo;4.9;151.0;ChIJx0D8erk_zpQRxkPdCB-2h08;pet_store;-23.7874883;-46.5345842
Casa de Ração da Lia;;;;5.0;10.0;ChIJ4V9m3kUVzpQR_-rpQGBBOuk;pet_store;-23.7859117;-46.5043658
Veterinary Clinic Riacho Grande;Estrada do Rio Acima, 765;Riacho Grande;São Bernardo do Campo;4.7;159.0;ChIJvc83UfQ_zpQRDox3xXhvUT4;veterinary_care;-23.7821859;-46.53229229999999
Toca de Francisco;Rua Antônio Caputo, 275;Rio Grande;São Bernardo do Campo;4.8;129.0;ChIJxxL4CvY_zpQREc0sOYhd_yg;veterinary_care;-23.7799052;-46.5305825
Estoril PEt;Rua Aljubarrota, 821;Parque Estoril;São Bernardo do Campo;5.0;30.0;ChIJ59fSOrQ_zpQRXPTcOM2zlSs;pet_store;-23.7766132;-46.5172585
Amor&Mel PetShop;;;;5.0;1.0;ChIJkTh_p9k_zpQR3mIhsp9OnEg;pet_store;-23.7759177;-46.51726900000001
Rações Morango;Rua Cruzeiro do Oeste, 154;Parque Andreense;Santo André;4.6;57.0;ChIJAR-H2NoUzpQRcDwhaUgHBAs;pet_store;-23.7687938;-46.46892020000001
Bolas Pet Cristal Pet;Rua Pacaembu, 87;Parque América;Rio Grande da Serra;5.0;1.0;ChIJSd4FHgETzpQR7QPADI198Qg;pet_store;-23.7640901;-46.41023269999999
Pet Shop Scooby Doo;;;;5.0;1.0;ChIJB1AjnyZBzpQRqvT_AIR8uVQ;pet_store;-23.7535043;-46.5801714
Encanto Pet;Rua Alameda das Paineiras, 80;Batistini;São Bernardo do Campo;5.0;21.0;ChIJcdJtCTJBzpQRl8-gz5z3V9w;pet_store;-23.7541823;-46.5810658
casa de racao amigos do pet;Avenida Nicola Demarchi, 1636;Demarchi;São Bernardo do Campo;4.3;22.0;ChIJVVWCSgBBzpQR7cD8g8388RE;pet_store;-23.7487366;-46.5570715
Lilo pets;Avenida Nicola Demarchi, 1590;Parque Botujuru;São Bernardo do Campo;4.3;6.0;ChIJ-RoxNPNBzpQRXz4L8RadEGk;pet_store;-23.7481224;-46.5562812
Boutique Animal;;;;4.3;60.0;ChIJkw3BMqtBzpQRTMGxQ1CkQKY;veterinary_care;-23.7479897;-46.5517654
Pet Shop e Clínica Veterinária Quirino;Rua Omar Daibert, 201;Parque Terra Nova II;São Bernardo do Campo;4.5;44.0;ChIJQe5tqFRAzpQRoA9LQ9PyNOM;veterinary_care;-23.7480145;-46.5499963
Escova Cão;Rua José D'Ângelo, 327;Parque Terra Nova II;São Bernardo do Campo;4.9;22.0;ChIJ3-6r5apBzpQRbjS-FjMZ7bY;pet_store;-23.746799;-46.5528
Clínica Veterinária Vet Health;Rua José Gomes Moreno, 50;Parque Terra Nova II;São Bernardo do Campo;5.0;2.0;ChIJ48EE_6pBzpQRQ_ajLQYayAk;veterinary_care;-23.7460655;-46.55254559999999
Pet Shop Lu;Estrada do Pedroso, 4525;Jardim Riviera;Santo André;4.7;6.0;ChIJmWBCtYhrzpQRB3MXuoqYcRg;pet_store;-23.7455399;-46.4955738
Pet Shop Aike Delicia;Rua Fagundes Varela, 477;Jardim Cacula;Ribeirão Pires;4.0;11.0;ChIJF9TzR6gUzpQR6unJPA51n3M;pet_store;-23.7550298;-46.4405457
Ribeirão Mundo Pet;Rua Vereador Fortunato Pandolfi Arnoni, 25;Jardim Cacula;Ribeirão Pires;5.0;19.0;ChIJ4Zw1ohwVzpQR3wPklIn9Y6s;pet_store;-23.7519138;-46.4409012
Agro & Pet Jardim Caçula;Estrada do Caçula, 52;Represa;Ribeirão Pires;4.9;22.0;ChIJww9PXnEVzpQR1GGyE2A687Q;pet_store;-23.7514747;-46.4417003
Pet Shop Portal Do Pet;Rua José Maria Figueiredo, 711;Centro;Rio Grande da Serra;4.4;7.0;ChIJUyCnjN4SzpQR1atvNFDK9_o;pet_store;-23.7483723;-46.39721830000001
Pet Shop e Casa de Rações São Francisco de Assis;Rua Agostinho Cardoso, 193;Vila Figueiredo;Rio Grande da Serra;4.7;64.0;ChIJJ9GiL98SzpQR8ff1yswxKxI;pet_store;-23.747424;-46.39895689999999
Veterinária Trevo;Avenida dos Autonomistas, 885;Vila Figueiredo;Rio Grande da Serra;4.3;102.0;ChIJAUCtut8SzpQRZgSLfUvd5yk;veterinary_care;-23.7499505;-46.3990894
Pet House;Rua Vereador Amilton José dos Santos, 239;Vila Ota;Rio Grande da Serra;5.0;2.0;ChIJMROQ9OYTzpQRGGvb_tRNNjM;pet_store;-23.7459292;-46.37898389999999
Avicultura e Pet shop Jardim Ipanema SBC;;;;4.7;20.0;ChIJY2ppwDxBzpQRQzZk_aKVK0Y;pet_store;-23.7465254;-46.5773842
Nani Pets;Rua Mário Missirolli, 741;Demarchi;São Bernardo do Campo;5.0;7.0;ChIJ0RYuZe9BzpQRWAq759plOFo;pet_store;-23.7430347;-46.5647688
Pet Shop Ipê;Estrada dos Casa, 2978;DOS CASAS;São Bernardo do Campo;5.0;2.0;ChIJayyttZ9BzpQRKXw0Ap6ykWg;veterinary_care;-23.7398778;-46.5701903
Gigi Estética Animal;Rua Professor Nelson Monteiro Palma, 45;Dos Casa;São Bernardo do Campo;4.9;18.0;ChIJa4n34BZBzpQRIONz8emvE54;pet_store;-23.7395085;-46.5689315
Pet shop caoqmia;Estrada dos Casa, 3528;Bairro dos Casa;São Bernardo do Campo;4.7;23.0;ChIJ01v2Bj5BzpQRBC85dX_hhhs;pet_store;-23.7415442;-46.5744966
QueriDu Pet - Banho e Tosa;Avenida Pérola Negra, 31;Dos Casas;São Bernardo do Campo;5.0;10.0;ChIJE5kugdFBzpQRvmc-XLlr9jc;pet_store;-23.742982;-46.578561
Bicho Mimado Estética Animal;Rua Afonso de Albuquerque, 91;Jardim do Lago;São Bernardo do Campo;5.0;36.0;ChIJFZHjrSRBzpQRBH9Tl4tNqLg;pet_store;-23.739649;-46.5762323
Clínica Veterinária Franciscão;Avenida Maria Servidei Demarchi, 1556;Demarchi;São Bernardo do Campo;4.6;224.0;ChIJF9DR6qdBzpQRJc9Sekp3MQg;veterinary_care;-23.7380222;-46.55377370000001
Pet Expert;Rua Simone de Beauvoir, 14;Vila Vitoria;São Bernardo do Campo;4.5;16.0;ChIJS86oD2ZBzpQRPFtChUs6GEI;pet_store;-23.735558;-46.5782232
FAMILY PETLIMP;Avenida Maria Servidei Demarchi, 1548;Demarchi;São Bernardo do Campo;4.9;51.0;ChIJlWH2UkhBzpQRyQH0HdBSfxc;pet_store;-23.737929;-46.5537159
